ind	dam	sire
1	NA	NA
2	NA	NA
3	NA	NA
4	NA	NA
5	NA	NA
6	NA	NA
7	NA	NA
8	NA	NA
9	NA	NA
10	NA	NA
11	NA	NA
12	NA	NA
13	NA	NA
14	NA	NA
15	NA	NA
16	NA	NA
17	NA	NA
18	NA	NA
19	NA	NA
20	NA	NA
21	20	11
22	12	6
23	12	6
24	12	6
25	12	6
26	12	6
27	12	6
28	14	10
29	14	10
30	14	10
31	14	10
32	14	10
33	1	20
34	1	20
35	1	20
36	20	2
37	20	2
38	11	10
39	11	10
40	11	10
41	3	18
42	3	18
43	3	18
44	9	5
45	5	20
46	5	20
47	22	45
48	22	45
49	24	39
50	24	39
51	25	33
52	26	31
53	26	31
54	21	40
55	21	40
56	41	23
57	46	44
58	35	32
59	24	35
60	24	35
61	24	35
62	24	35
63	24	35
64	30	22
65	30	22
66	30	22
67	44	39
68	44	39
69	23	32
70	23	32
71	23	32
72	32	33
73	32	33
74	32	33
75	32	33
76	32	33
77	57	58
78	57	58
79	48	76
80	48	76
81	48	76
82	48	76
83	70	56
84	70	56
85	58	70
86	58	70
87	58	70
88	58	70
89	58	70
90	58	70
91	58	70
92	57	63
93	57	63
94	57	63
95	57	63
96	59	60
97	59	60
98	59	60
99	54	51
100	54	51
101	54	51
102	54	51
103	69	72
104	69	72
105	69	72
106	76	74
107	55	47
108	54	56
109	54	56
110	54	56
111	67	61
112	67	61
113	67	61
114	71	53
115	71	53
116	73	56
117	113	110
118	111	90
119	111	90
120	114	80
121	114	80
122	114	80
123	114	80
124	114	80
125	84	91
126	84	91
127	84	91
128	89	106
129	104	111
130	96	114
131	96	114
132	96	114
133	104	113
134	92	84
135	92	84
136	92	84
137	92	84
138	92	84
139	104	108
140	104	108
141	104	108
142	95	96
143	108	85
144	108	85
145	113	86
146	113	86
147	113	86
148	85	109
149	85	109
150	85	109
151	91	113
152	91	113
153	91	113
154	93	111
155	93	111
156	107	105
157	107	105
158	107	105
159	135	119
160	135	119
161	156	138
162	156	138
163	156	138
164	156	138
165	150	153
166	119	131
167	128	119
168	157	126
169	157	126
170	157	126
171	157	126
172	141	136
173	141	136
174	148	142
175	148	142
176	152	137
177	152	137
178	152	137
179	151	122
180	151	117
181	151	117
182	144	120
183	146	125
184	146	125
185	146	125
186	146	125
187	146	125
188	140	135
189	140	135
190	156	131
191	156	131
192	139	132
193	141	155
194	141	155
195	151	121
